DOI,Äê·Ý,ID,ÂÛÎÄ,ÆÚ¿¯,Ñô¼«,Òõ¼«,µç½âÒº,ÀíÂÛÈÝÁ¿£¨mAh g-1£©,µçÁ÷ÃÜ¶È(mA g-1),³õÊ¼ÈÝÁ¿(mAh g-1),×î¸ßÈÝÁ¿(mAh g-1),·ÅµçµçÑ¹£¨vs.Mg/Mg2+£©,Ñ­»·È¦Êý,·ÅµçºóÈÝÁ¿(mAh g-1),ÈÝÁ¿±£³ÖÂÊ(%),ÎÂ¶È(¡æ),Ñ­»·È¦Êý,µç×è£¨¦¸£©,µ¥Î»Ãæ»ýÉÏµÄµçÁ÷ÃÜ¶È£¨mA cm-2£©,Ã¾ÍÑÀëÊ±µÄ¹ýµçÎ»(mV),Àë×Óµçµ¼ÂÊ(mS cm-1),µç»¯Ñ§´°¿Ú£¨V),¿âÂ×Ð§ÂÊ£¨%£©,ÌîÐ´ÈË,¸´ºËÈË
10.1016/j.cej.2021.129545,2021/3/29,MIB0062,Co0.85Se hollow polyhedrons entangled by carbon nanotubes as a high-performance cathode for magnesium secondary batteries,Chemical Engineering Journal,Mg,Co0.85Se/CNT,(Mg(HMDS)2¡¢ËÄÒÒ¶þ´¼¶þ¼×ÃÑ¡¢AlCl3,,200,,,,500,,76,,,,,,,,,,
10.1016/j.cej.2021.129545,2021/3/29,MIB0063,Co0.85Se hollow polyhedrons entangled by carbon nanotubes as a high-performance cathode for magnesium secondary batteries,Chemical Engineering Journal,Mg,Co0.85Se/CNT,(Mg(HMDS)2¡¢ËÄÒÒ¶þ´¼¶þ¼×ÃÑ¡¢AlCl3,,50,,194,,,,,,,,,,,,,,
10.1016/j.cej.2021.129545,2021/3/29,MIB0064,Co0.85Se hollow polyhedrons entangled by carbon nanotubes as a high-performance cathode for magnesium secondary batteries,Chemical Engineering Journal,Mg,Co0.85Se,(Mg(HMDS)2¡¢ËÄÒÒ¶þ´¼¶þ¼×ÃÑ¡¢AlCl3,,1000,,73,,,,,,,,,,,,,,
10.1021/acsami.1c06669,2021/7/9,MIB0065,"A Chlorine-Free Electrolyte Based on Non-nucleophilic Magnesium
Bis(diisopropyl)amide and Ionic Liquid for Rechargeable Magnesium
Batteries",ACS Applied Materials & Interfaces,Mg,Se/pPAN8,1 M LiTFSI,,0.2 C,447.8,,,70,296.5,,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1021/acsami.1c06669,2021/7/9,MIB0066,"A Chlorine-Free Electrolyte Based on Non-nucleophilic Magnesium
Bis(diisopropyl)amide and Ionic Liquid for Rechargeable Magnesium
Batteries",ACS Applied Materials & Interfaces,Mg,Se/pPAN8,MBA-2Mgcl2-2AlCl3+LiTFI/THF,,0.1 C,,600,,70,130,,,,,,,,,,,
10.1016/j.jma.2021.05.017,2021/7/22,MIB0067,Low-temperatures synthesis of CuS nanospheres as cathode material for magnesium second batteries,Magnesium and Alloys,Mg,CuS,APC electrolyte,,20,200,365,,,,,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1016/j.jma.2021.05.017,2021/7/22,MIB0068,Low-temperatures synthesis of CuS nanospheres as cathode material for magnesium second batteries,Magnesium and Alloys,Mg,CuS,APC electrolyte,,50,171,,,,,,,,,,,,,,,
10.1016/j.jma.2021.05.017,2021/7/22,MIB0069,Low-temperatures synthesis of CuS nanospheres as cathode material for magnesium second batteries,Magnesium and Alloys,Mg,CuS,APC electrolyte,,100,126,,,,,,,,,,,,,,,
10.1016/j.jma.2021.05.017,2021/7/22,MIB0070,Low-temperatures synthesis of CuS nanospheres as cathode material for magnesium second batteries,Magnesium and Alloys,Mg,CuS,APC electrolyte,,200,87,,,,,,,,,,,,,,,
10.1016/j.jma.2021.05.017,2021/7/22,MIB0071,Low-temperatures synthesis of CuS nanospheres as cathode material for magnesium second batteries,Magnesium and Alloys,Mg,CuS,APC electrolyte,,300,40,,,,,,,,,,,,,,,
10.1016/j.jma.2021.05.017,2021/7/22,MIB0072,Low-temperatures synthesis of CuS nanospheres as cathode material for magnesium second batteries,Magnesium and Alloys,Mg,CuS,APC electrolyte,,1000,,250,,,,,,,,,,,,,,
